,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,DD_Latitudes,DD_Longitudes,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
46,51510.*A,AIRPORT,GUM,3/24/2022,AWP,HNL,GU,GUAM,GUAM,GU,GUAM,GUAM INTL,PU,PU,A.B. WON PAT GUAM INT'L ARPT AUTHOR,P.O. BOX 8770,"TAMUNING, GU 96931-1278",671-646-0300,TOM ADA,P.O. BOX 8770,"TAMUNING, GU 96931",671-646-0300,13.48395067,144.7971271,013-29-02.2200N,048542.2224N,144-47-49.6600E,0521269.6576E,E,304.5,S,02E,2000,1002,GNC 7,3,NE,1657,ZUA,ZUA,GUAM,ZUA,ZUA,GUAM,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,GUM,Y,6/1/1953,O,I E S 04/1995,NGPSY,,N,Y,N,Y,F,F,10/18/2019,,100LL A1,MINOR,MINOR,HIGH,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,22,4,10,0,,,,24347,,262,20958,27703,465,9/30/2019,FAA,2/28/2013,3RD PARTY SURVEY,2/28/2013,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR",Y-L,PGUM,Small,
47,52560.01*A,AIRPORT,HI46,3/24/2022,AWP,HNL,HI,HAWAII,KAUAI,HI,PUHI,HI 23 AIRSTRIP,PR,PR,THE LIHUE PLANTATION CO; LTD,2970 KELE STREET,"LIHUE, HI 96766",808-245-7325,MICHAEL H. FURUKAWA,2970 KELE STREET,"LIHUE, HI 96766",808-245-7325,21.9657525,-159.4272039,021-57-56.7100N,079076.7090N,159-25-37.9300W,0573937.9340W,E,480,E,11E,1985,,HAWAIIAN ISLANDS,2,W,,ZHN,ZHN,HONOLULU CONTROL FACILITY,ZHN,ZHN,HONOLULU CONTROL FACILITY,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,,N,9/1/1980,O,,,CONDITIONAL,,,,,2,N,,2/6/1992,,,,,,,,N,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,N,,,
48,05950.*A,AIRPORT,DSM,3/24/2022,ACE,NONE,IA,IOWA,POLK,IA,DES MOINES,DES MOINES INTL,PU,PU,DES MOINES AIRPORT AUTHORITY,"5800 FLEUR DRIVE, SUITE 207, ROOM 201","DES MOINES, IA 50321",515-256-5100,MR. KEVIN FOLEY,"5800 FLEUR DRIVE, SUITE 207","DES MOINES, IA 50321-2854",515-256-5100,41.53397278,-93.66307194,041-32-02.3000N,149522.3020N,093-39-47.0600W,0337187.0590W,E,957.9,S,01E,2020,,OMAHA,3,SW,2625,ZMP,ZCP,MINNEAPOLIS,ZMP,ZCP,MINNEAPOLIS,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,DSM,Y,4/1/1940,O,I C S 05/1973,NGY3,CONDITIONAL,N,Y,N,Y,F,F,3/28/2019,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,N,,58,16,30,1,,0,,24526,,3383,4788,16971,1574,12/31/2020,3RD PARTY SURVEY,2/3/2020,3RD PARTY SURVEY,2/3/2020,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,SALES,SURV",Y-L,KDSM,Small,
49,06258.*A,AIRPORT,OTM,3/24/2022,ACE,NONE,IA,IOWA,WAPELLO,IA,OTTUMWA,OTTUMWA RGNL,PU,PU,CITY OF OTTUMWA,CITY HALL,"OTTUMWA, IA 52501",641-683-0619,CHRIS COBLER,14802 TERMINAL ST,"OTTUMWA, IA 52501",641-683-0619,41.10718133,-92.44707272,041-06-25.8500N,147985.8528N,092-26-49.4600W,0332809.4618W,E,845.3,S,03E,1985,,CHICAGO,5,NW,1600,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,OTM,Y,4/1/1944,O,,NGPY,NO OBJECTION,N,N,N,Y,F,S,7/27/2021,,100LL A,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,N,123,123,N,CG,N,,22,1,2,1,0,0,0,,,,4533,5967,,7/27/2021,FAA-EST,9/19/2011,STATE,9/8/2011,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L,KOTM,,Local
50,06402.*A,AIRPORT,ALO,3/24/2022,ACE,NONE,IA,IOWA,BLACK HAWK,IA,WATERLOO,WATERLOO RGNL,PU,PU,CITY OF WATERLOO,715 MULBERRY,"WATERLOO, IA 50701",319-291-4323,"MR. KEITH KASPARI, MPA, C.M.",2790 AIRPORT BLVD,"WATERLOO, IA 50703",319-291-4483,42.55844917,-92.40102333,042-33-30.4200N,153210.4170N,092-24-03.6800W,0332643.6840W,E,873,S,00E,2020,,CHICAGO,4,NW,2583,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,FOD,FORT DODGE,,1-800-WX-BRIEF,,,,ALO,Y,5/1/1947,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,10/27/2021,,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,125.075,N,CG,N,,55,8,4,5,,9,,31,,1340,7989,10970,1895,9/30/2021,3RD PARTY SURVEY,3/13/2011,3RD PARTY SURVEY,3/13/2011,,"HGR,TIE","AMB,CHTR,INSTR,RNTL",Y-L,KALO,,Regional
51,04205.01*A,AIRPORT,ID97,3/24/2022,ANM,NONE,ID,IDAHO,CANYON,ID,GREENLEAF,HIBBS,PR,PR,JEFF HIBBS,23050 LOWER PLEASANT RIDGE ROAD,"GREENLEAF, ID 83626-3120",208-880-5885,,20219 VANSLYKE ROAD,"GREENLEAF, ID 83626",208-454-9027,43.66511389,-116.858425,043-39-54.4100N,157194.4100N,116-51-30.3300W,0420690.3300W,E,2446,E,,,,,2,WSW,,ZLC,ZCU,SALT LAKE CITY,ZLC,ZCU,SALT LAKE CITY,,BOI,BOISE,,1-800-WX-BRIEF,,,,,,4/1/2017,O,,,NO OBJECTION,,,,,,N,,4/14/2019,,,,,,,,N,,,,,,,2,,,,,,,,,,,,,,OWNER,3/28/2017,OWNER,3/28/2017,,,,,,,
52,05008.*A,AIRPORT,SPI,3/24/2022,AGL,CHI,IL,ILLINOIS,SANGAMON,IL,SPRINGFIELD,ABRAHAM LINCOLN CAPITAL,PU,PU,SPRINGFIELD ARPT AUTH,1200 CAPITAL AIRPORT DR,"SPRINGFIELD, IL 62707-8413",217-788-1080,MARK HANNA,CAPITAL AIRPORT,"SPRINGFIELD, IL 62707-8419",217-788-1080,39.84422222,-89.67808333,039-50-39.2000N,143439.2000N,089-40-41.1000W,0322841.1000W,E,597.8,S,01W,2005,,ST LOUIS,3,NW,2300,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,SPI,Y,3/1/1947,O,I B S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,10/29/2021,,100LL A J8,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,121.3,N,CG,N,,69,6,12,4,1,,1,260,,2871,8616,10423,5208,7/31/2021,3RD PARTY SURVEY,7/2/2009,3RD PARTY SURVEY,7/14/2012,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L,KSPI,Non-Hub,
53,04431.*A,AIRPORT,BMI,3/24/2022,AGL,CHI,IL,ILLINOIS,MC LEAN,IL,BLOOMINGTON/NORMAL,CENTRAL IL RGNL/BLOOMINGTON-NORMAL,PU,PU,BLOOMINGTON NORMAL ARPT AUTH,3201 CIRA DRIVE,"BLOOMINGTON, IL 61704",309-663-7383,CARL G. OLSON,3201 CIRA DRIVE,"BLOOMINGTON, IL 61704",309-663-7383,40.47711111,-88.91591667,040-28-37.6000N,145717.6000N,088-54-57.3000W,0320097.3000W,E,871.4,S,03W,2015,,CHICAGO,3,E,1968,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,BMI,Y,4/1/1940,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,12/1/2017,,100LL A,MAJOR,MAJOR,LOW,,SEE RMK,SS-SR,Y,122.95,124.6,N,CG,N,,58,4,11,1,,,,3525,,1276,4665,9655,901,12/31/2019,3RD PARTY SURVEY,11/8/2007,3RD PARTY SURVEY,11/8/2007,,"HGR,TIE","AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KBMI,Non-Hub,
54,04507.*A,AIRPORT,MDW,3/24/2022,AGL,CHI,IL,ILLINOIS,COOK,IL,CHICAGO,CHICAGO MIDWAY INTL,PU,PU,CITY OF CHICAGO,5700 S. CICERO,"CHICAGO, IL 60638",773-838-0608,JAMIE RHEE,10510 WEST ZEMKE ROAD,"CHICAGO, IL 60666",773-894-5492,41.78597222,-87.75241667,041-47-09.5000N,150429.5000N,087-45-08.7000W,0315908.7000W,E,619.8,S,04W,2015,,CHICAGO,9,SW,650,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,MDW,Y,4/1/1940,O,I C S 05/1973,NGY3,NO OBJECTION,Y,Y,N,Y,F,F,10/6/2020,,100LL A1+,MAJOR,MAJOR,LOW,LOW,,SS-SR,Y,122.95,,N,CG,N,,6,0,30,0,0,0,0,171926,,26988,0,32922,248,12/31/2019,3RD PARTY SURVEY,10/4/2011,3RD PARTY SURVEY,10/4/2011,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR",Y-L,KMDW,Large,
55,04508.*A,AIRPORT,ORD,3/24/2022,AGL,CHI,IL,ILLINOIS,COOK,IL,CHICAGO,CHICAGO O'HARE INTL,PU,PU,CITY OF CHICAGO,"P.O. BOX 66142, 10510 WEST ZEMKE RO, 10510 WEST ZEMKE RO","CHICAGO, IL 60666",773-686-2200,JAMIE RHEE,10510 WEST ZEMKE RO,"CHICAGO, IL 60666",773-686-8060,41.97694028,-87.90814972,041-58-36.9900N,151116.9850N,087-54-29.3400W,0316469.3390W,E,680,S,03W,2010,,CHICAGO,14,NW,7627,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,ORD,Y,2/1/1944,O,I E S 05/1973,NGPRY,NO OBJECTION,N,Y,N,Y,F,S,8/12/2021,,100LL A,MAJOR,MAJOR,HIGH,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,,,,,,,,404546,,130821,,2791,53,12/31/2020,FAA-EST,9/14/2019,3RD PARTY SURVEY,10/3/2016,,,,Y-L,KORD,Large,
56,04974.*A,AIRPORT,RFD,3/24/2022,AGL,CHI,IL,ILLINOIS,WINNEBAGO,IL,CHICAGO/ROCKFORD,CHICAGO/ROCKFORD INTL,PU,PU,GREATER ROCKFORD ARPT. AUTH.,60 ARPT DRIVE,"ROCKFORD, IL 61109-2902",815-969-4011,MIKE DUNN,60 AIRPORT DR,"ROCKFORD, IL 61109-2902",815-965-4011,42.19536111,-89.09722222,042-11-43.3000N,151903.3000N,089-05-50.0000W,0320750.0000W,E,742,S,03W,2020,,CHICAGO,68,NW,2900,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,RFD,Y,3/1/1950,O,I C S 05/1973,NGPSY,NO OBJECTION,N,Y,N,Y,F,F,2/21/2019,,100LL A A1+,MAJOR,MAJOR,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,N,,78,18,15,3,,,,17810,,1289,5403,14495,1496,12/31/2018,3RD PARTY SURVEY,1/20/2011,3RD PARTY SURVEY,1/20/2011,,"HGR,TIE","CARGO,CHTR,INSTR,RNTL",Y-L,KRFD,Non-Hub,
57,04564.*A,AIRPORT,DEC,3/24/2022,AGL,CHI,IL,ILLINOIS,MACON,IL,DECATUR,DECATUR,PU,PU,DECATUR PARK DISTRICT,620 E. RIVERSIDE AVE.,"DECATUR, IL 62521",217-428-2423,TIM A. WRIGHT,910 S. AIRPORT ROAD,"DECATUR, IL 62521",217-428-2423,39.8345625,-88.86568917,039-50-04.4300N,143404.4250N,088-51-56.4800W,0319916.4810W,E,681.9,S,01W,2000,,ST LOUIS,4,E,2100,ZKC,ZCK,KANSAS CITY,ZAU,ZCG,CHICAGO,,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,DEC,Y,3/1/1945,O,I A U 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,11/12/2019,,100LL A,,,,,SEE RMK,SS-SR,Y,122.95,118.9,N,CG,N,,50,0,0,0,0,12,0,9,,4349,15329,10398,10717,12/31/2018,FAA,8/26/2011,3RD PARTY SURVEY,6/22/2010,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y-L,KDEC,,Regional
58,05031.52*A,AIRPORT,5LL8,3/24/2022,AGL,CHI,IL,ILLINOIS,KANKAKEE,IL,UNION HILL,HUGH VAN VOORST,PR,PR,HUGH VAN VOORST,PO BOX 37 201 CENTER,"UNION HILL, IL 60969",815-426-2545,H E VAN VOORST,PO BOX 37 201 CENTER,"UNION HILL, IL 60969",815-426-2545,41.11225417,-88.14005194,041-06-44.1200N,148004.1150N,088-08-24.1900W,0317304.1870W,E,617,E,01W,1985,,CHICAGO,0,NE,,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,,N,2/1/1972,O,,,NO OBJECTION,,,,,2,N,,7/17/2020,,NONE,NONE,,,SEE RMK,,N,,,N,,N,,,,1,,,,,,,,,,,,,,,,,,,Y,,,
59,04868.*A,AIRPORT,MLI,3/24/2022,AGL,CHI,IL,ILLINOIS,ROCK ISLAND,IL,MOLINE,QUAD CITIES INTL,PU,PU,METROPOLITAN AIRPORT AUTH,BOX 9009,"MOLINE, IL 61265",309-764-9621,BENJAMIN LEISCHNER,BOX 9009,"MOLINE, IL 61265",309-764-9621,41.44827778,-90.50752778,041-26-53.8000N,149213.8000N,090-30-27.1000W,0325827.1000W,E,589.6,S,01E,1985,,CHICAGO,3,S,2021,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,MLI,Y,4/1/1940,O,I B S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,7/26/2019,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,119.4,Y,CG,Y,,55,18,11,1,,,,5580,,9052,6347,10578,915,12/31/2018,3RD PARTY SURVEY,5/22/2012,3RD PARTY SURVEY,5/22/2012,,"HGR,TIE","AVNCS,CARGO,CHTR",Y-L,KMLI,Non-Hub,
60,04958.*A,AIRPORT,UIN,3/24/2022,AGL,CHI,IL,ILLINOIS,ADAMS,IL,QUINCY,QUINCY RGNL-BALDWIN FLD,PU,PU,CITY OF QUINCY,1645 HWY 104,"QUINCY, IL 62305",217-885-3285,SANDRA SHORE,1645 HWY 104,"QUINCY, IL 62305",217-885-3262,39.94301739,-91.19446336,039-56-34.8600N,143794.8626N,091-11-40.0700W,0328300.0681W,E,768.7,S,02E,1985,,KANSAS CITY,10,E,1101,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,UIN,Y,4/1/1947,O,IV A U 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,10/28/2021,,100LL A,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,123,123,Y,CG,N,,29,6,12,0,0,0,1,,,3808,13560,2050,26,1/1/2021,FAA-EST,1/29/2013,3RD PARTY SURVEY,1/9/2008,,TIE,"AMB,CHTR,INSTR,RNTL",Y-L,KUIN,,Regional
61,04413.*A,AIRPORT,BLV,3/24/2022,AGL,CHI,IL,ILLINOIS,ST CLAIR,IL,BELLEVILLE,SCOTT AFB/MIDAMERICA ST LOUIS,MA,PU,ST CLAIR COUNTY & USAF,10 PUBLIC SQUARE,"BELLEVILLE, IL 62220",618-277-6600,BRYAN JOHNSON,"9656 AIR TERMINAL DR, STE 100","MASCOUTAH, IL 62258-5501",618-566-5240,38.54517306,-89.83518556,038-32-42.6200N,138762.6230N,089-50-06.6700W,0323406.6680W,E,459.1,S,02W,2020,,ST LOUIS,14,E,7003,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,BLV,Y,7/1/1942,O,I B S 10/1997,N,NOT ANALYZED,N,N,Y,N,F,F,2/28/2020,2/3/1977,100LL A+,NONE,,NONE,,,SS-SR,Y,122.95,,N,CG,Y,,2,0,0,5,,27,,1984,,0,0,5605,9996,12/31/2020,FAA-EST,2/18/2021,3RD PARTY SURVEY,6/11/2020,,TIE,"AFRT,CARGO",Y,KBLV,Non-Hub,
62,04494.*A,AIRPORT,CMI,3/24/2022,AGL,CHI,IL,ILLINOIS,CHAMPAIGN,IL,CHAMPAIGN/URBANA,UNIVERSITY OF ILLINOIS/WILLARD,PU,PU,UNIV OF ILLINOIS,11 AIRPORT ROAD,"SAVOY, IL 61874",217-244-8689,TIMOTHY BANNON,11 AIRPORT RD,"SAVOY, IL 61874",217-244-8689,40.03856083,-88.27653917,040-02-18.8200N,144138.8190N,088-16-35.5400W,0317795.5410W,E,754.9,S,03W,2015,750,CHICAGO,5,SW,1799,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,CMI,Y,5/1/1945,O,I B S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,5/24/2018,,100LL A1+,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,122.95,120.4,N,CG,N,,56,4,12,3,,,,88,,9109,20356,8343,185,12/31/2020,FAA-EST,10/19/2021,3RD PARTY SURVEY,10/19/2021,,TIE,"AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L,KCMI,Non-Hub,
63,04850.*A,AIRPORT,MWA,3/24/2022,AGL,CHI,IL,ILLINOIS,WILLIAMSON,IL,MARION,VETERANS AIRPORT OF SOUTHERN ILLINOIS,PU,PU,WILLIAMSON COUNTY ARPT AUTH,10400 TERMINAL DR,"MARION, IL 62959",618-993-3353,DOUGLAS S KIMMEL,10400 TERMINAL DR; SUITE 200,"MARION, IL 62959",618-993-3353,37.75497222,-89.01108333,037-45-17.9000N,135917.9000N,089-00-39.9000W,0320439.9000W,E,471.7,S,01E,1985,,ST LOUIS,4,W,1300,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,MWA,Y,10/1/1944,O,IV A U 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,3/11/2020,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,128.4,Y,CG,N,,36,6,1,0,,,,44,,8727,8972,3595,752,12/31/2019,3RD PARTY SURVEY,6/4/2012,3RD PARTY SURVEY,6/4/2012,,HGR,"CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KMWA,,Regional
64,05282.*A,AIRPORT,FWA,3/24/2022,AGL,CHI,IN,INDIANA,ALLEN,IN,FORT WAYNE,FORT WAYNE INTL,PU,PU,FT WAYNE/ALLEN CO ARPT AUTH,"3801 WEST FERGUSON ROAD, SUITE 209","FORT WAYNE, IN 46809",260-747-4146,SCOTT D. HINDERMAN,"3801 WEST FERGUSON ROAD, SUITE 209","FORT WAYNE, IN 46809",260-747-4146,40.97847222,-85.19516667,040-58-42.5000N,147522.5000N,085-11-42.6000W,0306702.6000W,E,814.5,S,06W,2020,,CHICAGO,7,SW,3351,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,HUF,TERRE HAUTE,,1-800-WX-BRIEF,,,,FWA,Y,1/1/1943,O,I B S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,F,F,8/10/2018,,100LL A A+,MAJOR,MAJOR,HIGH,,,SEE RMK,Y,122.95,,N,CG,N,,24,6,14,1,,21,,8901,,7383,8626,13315,2928,9/30/2021,3RD PARTY SURVEY,4/10/2010,3RD PARTY SURVEY,4/10/2010,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KFWA,Small,
65,05689.*A,AIRPORT,HUF,3/24/2022,AGL,CHI,IN,INDIANA,VIGO,IN,TERRE HAUTE,TERRE HAUTE RGNL,PU,PU,TERRE HAUTE RGNL ARPT AUTH,581 S. AIRPORT ST.,"TERRE HAUTE, IN 47803",812-877-2524,JEFF HAUSER,581 S. AIRPORT ST.,"TERRE HAUTE, IN 47803",812-877-2524,39.45063194,-87.30699,039-27-02.2700N,142022.2750N,087-18-25.1600W,0314305.1640W,E,589.2,S,02W,2000,,ST LOUIS,5,E,1475,ZID,ZCI,INDIANAPOLIS,ZID,ZCI,INDIANAPOLIS,N,HUF,TERRE HAUTE,,1-800-WX-BRIEF,,,,HUF,Y,12/1/1944,O,IV A U 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,8/15/2019,,100LL A,MAJOR,MAJOR,NONE,,,SS-SR,Y,122.95,,N,CG,Y,,55,9,1,2,1,0,0,9,,1481,20380,21672,195,12/31/2020,3RD PARTY SURVEY,11/2/2018,3RD PARTY SURVEY,11/2/2018,,"HGR,TIE","AFRT,CARGO,INSTR,RNTL",Y-L,KHUF,,Regional
66,06580.*A,AIRPORT,EMP,3/24/2022,ACE,NONE,KS,KANSAS,LYON,KS,EMPORIA,EMPORIA MUNI,PU,PU,CITY OF EMPORIA,P O BOX 928,"EMPORIA, KS 66801",620-342-5105,KEN ADAMS,1005 COUNTY RD 120,"EMPORIA, KS 66801",620-343-5600,38.33055556,-96.18994444,038-19-50.0000N,137990.0000N,096-11-23.8000W,0346283.8000W,E,1207.7,S,05E,2000,,KANSAS CITY,4,S,713,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,ICT,WICHITA,,1-800-WX-BRIEF,,,,EMP,Y,12/1/1944,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,8/16/2019,,100LL A MOGAS,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,28,2,1,3,0,0,0,,,100,8050,9000,500,7/31/2019,3RD PARTY SURVEY,7/10/2008,3RD PARTY SURVEY,7/10/2008,,"HGR,TIE","INSTR,RNTL,SALES",Y-L,KEMP,,Local
67,06692.*A,AIRPORT,K79,3/24/2022,ACE,NONE,KS,KANSAS,HODGEMAN,KS,JETMORE,JETMORE MUNI,PU,PU,CITY OF JETMORE,BOX 8,"JETMORE, KS 67854",620-357-8344,MICHAEL ORT,BOX 8,"JETMORE, KS 67854",620-393-5565,37.98444444,-99.89433333,037-59-04.0000N,136744.0000N,099-53-39.6000W,0359619.6000W,E,2467,S,08E,1990,,WICHITA,6,S,1181,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,ICT,WICHITA,,1-800-WX-BRIEF,,,,ICT,Y,2/1/1944,O,,PR,NOT ANALYZED,N,N,N,Y,S,S,9/25/2020,,,NONE,NONE,,,SEE RMK,SS-SR,N,122.7,122.7,N,CG,N,,0,,,,,,,,,,500,100,,9/25/2020,3RD PARTY SURVEY,1/29/2011,3RD PARTY SURVEY,1/29/2011,,TIE,,Y,,,
68,06748.*A,AIRPORT,MHK,3/24/2022,ACE,NONE,KS,KANSAS,RILEY,KS,MANHATTAN,MANHATTAN RGNL,PU,PU,CITY OF MANHATTAN,1101 POYNTZ,"MANHATTAN, KS 66502-5497",785-587-4560,BRANDON KEAZER,"5500 SKYWAY DRIVE, STE 120","MANHATTAN, KS 66503-9791",785-587-4565,39.14122222,-96.67180556,039-08-28.4000N,140908.4000N,096-40-18.5000W,0348018.5000W,E,1066,S,04E,2010,843,KANSAS CITY,4,SW,680,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,ICT,WICHITA,,1-800-WX-BRIEF,,,,MHK,Y,4/1/1940,O,I B S 05/1973,NGSVY,NO OBJECTION,N,N,N,Y,F,F,5/28/2021,,100LL A MOGAS,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,,118.55,Y,CG,N,,32,7,2,1,,,,1134,,1040,13351,12966,4311,12/31/2020,FAA-EST,10/25/2018,3RD PARTY SURVEY,10/25/2018,,"HGR,TIE","AMB,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L,KMHK,Non-Hub,
69,06979.*A,AIRPORT,IAB,3/24/2022,ACE,NONE,KS,KANSAS,SEDGWICK,KS,WICHITA,MC CONNELL AFB,MA,PR,USAF,HQ MCCONNELL AFB,"WICHITA, KS 67221",,CHIEF AIRFIELD MANAGEMENT,HQ MCCONNELL AFB,"WICHITA, KS 67221",316-759-3835,37.62311597,-97.26762917,037-37-23.2200N,135443.2175N,097-16-03.4700W,0350163.4650W,E,1371.5,S,04E,2015,,WICHITA,4,S,,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,ICT,WICHITA,,1-800-WX-BRIEF,,,,IAB,Y,4/1/1940,O,,,NO OBJECTION,N,N,N,N,,N,,9/9/1976,,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,,,N,CG,,,,,,,,1,,,,,,,177600,,AVN,7/10/2015,MILITARY,7/10/2015,,HGR,CARGO,Y,KIAB,,
